entity_group,score,word,start,end,correct_label
MISC,0.9749682,Internet,849,858,ORG
LOC,0.62906975,HP,1385,1387,MISC
LOC,0.99682075,Agilent,1393,1401,ORG
LOC,0.9982887,Les Ulis,1402,1411,LOC
LOC,0.9986071,France,1412,1419,LOC
LOC,0.5598432,HP6890/HP59,1432,1443,MISC
LOC,0.5824222,N,1445,1446,MISC
LOC,0.99800366,Agilent,1447,1455,ORG
LOC,0.978719,les Ulis,1456,1465,LOC
LOC,0.99867874,France,1466,1473,LOC
LOC,0.96147764,Quattro Premier,1585,1600,MISC
LOC,0.9765687,Waters,1601,1608,ORG
LOC,0.99836016,Guyancourt,1609,1620,LOC
LOC,0.998552,France,1621,1628,LOC
LOC,0.7239499,HP,1645,1647,MISC
LOC,0.99762386,Agilent,1653,1661,ORG
LOC,0.99801487,Les Ulis,1662,1671,LOC
LOC,0.9986498,France,1672,1679,LOC
